,algorithm,district,parameters,shared cost,own cost,time
0,random,1,N/A,45187,74995,0.012800931930541992
1,random,1,N/A,43360,72718,0.016566038131713867
2,random,1,N/A,45061,74905,0.026455163955688477
3,random,1,N/A,45853,77605,0.007845163345336914
4,random,1,N/A,45142,77362,0.01455998420715332
5,random,1,N/A,46132,76615,0.007782936096191406
6,random,1,N/A,45430,75760,0.0059468746185302734
7,random,1,N/A,44773,75148,0.006559133529663086
8,random,1,N/A,43945,73222,0.010834932327270508
9,random,1,N/A,44728,74968,0.006620883941650391
10,random,1,N/A,43972,74536,0.010992050170898438
11,random,1,N/A,45151,77200,0.005609989166259766
12,random,1,N/A,44449,76174,0.0063741207122802734
13,random,1,N/A,44935,75481,0.010198116302490234
14,random,1,N/A,44908,75715,0.007792949676513672
15,random,1,N/A,45349,78613,0.011588096618652344
16,random,1,N/A,44647,74932,0.006972074508666992
17,random,1,N/A,44683,75931,0.011477947235107422
18,random,1,N/A,42874,77209,0.01557612419128418
19,random,1,N/A,45016,76021,0.005856037139892578
20,random,1,N/A,45106,75607,0.005084991455078125
21,random,1,N/A,44458,76048,0.007208824157714844
22,random,1,N/A,45439,75733,0.007348775863647461
23,random,1,N/A,44773,74725,0.01331782341003418
24,random,1,N/A,45268,79342,0.02667403221130371
25,random,1,N/A,45232,75013,0.00807809829711914
26,random,1,N/A,45511,75238,0.0049610137939453125
27,random,1,N/A,44476,75391,0.00578618049621582
28,random,1,N/A,44674,73537,0.00846409797668457
29,random,1,N/A,43261,75157,0.006897926330566406
30,random,1,N/A,46708,76462,0.011056900024414062
31,random,1,N/A,44791,76165,0.011777162551879883
32,random,1,N/A,44674,75526,0.009364843368530273
33,random,1,N/A,44332,75553,0.006431102752685547
34,random,1,N/A,44539,73015,0.014999866485595703
35,random,1,N/A,45124,75634,0.009692907333374023
36,random,1,N/A,45439,78235,0.005148887634277344
37,random,1,N/A,45331,77371,0.009072065353393555
38,random,1,N/A,44422,72763,0.005158185958862305
39,random,1,N/A,44602,74518,0.006240129470825195
40,random,1,N/A,43855,73429,0.005324840545654297
41,random,1,N/A,45853,76318,0.00830698013305664
42,random,1,N/A,41956,73600,0.0063211917877197266
43,random,1,N/A,46285,77173,0.013511180877685547
44,random,1,N/A,44134,73933,0.008713960647583008
45,random,1,N/A,45322,78163,0.008684158325195312
46,random,1,N/A,43972,74770,0.050026893615722656
47,random,1,N/A,44701,76633,0.00664973258972168
48,random,1,N/A,44890,75868,0.00941610336303711
49,random,1,N/A,44035,75517,0.0053517818450927734
50,random,1,N/A,44791,77011,0.006539106369018555
51,random,1,N/A,45151,74977,0.007648944854736328
52,random,1,N/A,47050,76336,0.009905338287353516
53,random,1,N/A,43684,74239,0.005093812942504883
