,algorithm,district,parameters,shared cost,own cost,time
0,random,2,N/A,42307,67021,0.007667064666748047
1,random,2,N/A,43792,68893,0.00705409049987793
2,random,2,N/A,42856,67408,0.024959087371826172
3,random,2,N/A,42694,67642,0.01047205924987793
4,random,2,N/A,44161,70585,0.01196599006652832
5,random,2,N/A,42721,68056,0.017435312271118164
6,random,2,N/A,44422,69874,0.010053873062133789
7,random,2,N/A,43459,70450,0.009685993194580078
8,random,2,N/A,42901,70279,0.01836872100830078
9,random,2,N/A,43045,69037,0.005889177322387695
10,random,2,N/A,43090,71647,0.010918855667114258
11,random,2,N/A,43351,71692,0.007596015930175781
12,random,2,N/A,42694,67057,0.014729976654052734
13,random,2,N/A,42505,67408,0.012285947799682617
14,random,2,N/A,42604,67471,0.0052340030670166016
15,random,2,N/A,43036,70846,0.004616975784301758
16,random,2,N/A,44395,68965,0.007333278656005859
17,random,2,N/A,42523,69289,0.0072078704833984375
18,random,2,N/A,44134,68794,0.015175819396972656
19,random,2,N/A,42973,67921,0.006877899169921875
20,random,2,N/A,42010,65644,0.006829023361206055
21,random,2,N/A,42820,70468,0.009756803512573242
22,random,2,N/A,43144,67858,0.007340192794799805
23,random,2,N/A,42973,69703,0.013019800186157227
24,random,2,N/A,42082,67633,0.00993204116821289
25,random,2,N/A,42577,67264,0.035758018493652344
26,random,2,N/A,41488,69055,0.02273392677307129
27,random,2,N/A,43738,70684,0.008710861206054688
28,random,2,N/A,43621,67687,0.005924224853515625
29,random,2,N/A,43612,68506,0.011095762252807617
30,random,2,N/A,41632,64168,0.015650033950805664
31,random,2,N/A,43288,68713,0.007219076156616211
32,random,2,N/A,43666,71206,0.008188009262084961
33,random,2,N/A,44026,72457,0.01204824447631836
34,random,2,N/A,43873,68542,0.004746913909912109
35,random,2,N/A,43774,68830,0.0064258575439453125
36,random,2,N/A,42541,69460,0.005286216735839844
37,random,2,N/A,42514,67786,0.010572671890258789
38,random,2,N/A,42559,69550,0.015040159225463867
39,random,2,N/A,44485,70477,0.007254600524902344
40,random,2,N/A,43261,68407,0.00432896614074707
41,random,2,N/A,41983,66643,0.007443904876708984
42,random,2,N/A,43027,67642,0.011575937271118164
43,random,2,N/A,43387,69136,0.007916927337646484
44,random,2,N/A,42955,68434,0.004567146301269531
45,random,2,N/A,43738,70846,0.010380029678344727
46,random,2,N/A,43108,68884,0.005272865295410156
47,random,2,N/A,43891,69973,0.03082895278930664
48,random,2,N/A,43927,69739,0.009594917297363281
49,random,2,N/A,43675,68857,0.01164388656616211
50,random,2,N/A,43621,69433,0.02118992805480957
51,random,2,N/A,44440,71062,0.010008096694946289
52,random,2,N/A,43981,68461,0.004987955093383789
53,random,2,N/A,42937,69667,0.0050737857818603516
