,algorithm,district,parameters,shared cost,own cost,time
0,hill_climber,2,random selection of 10,32938,48769,14.87249493598938
1,hill_climber,2,random selection of 10,33964,50110,13.359570980072021
2,hill_climber,2,random selection of 10,32893,48850,14.306457757949829
3,hill_climber,2,random selection of 10,32209,47788,19.00548219680786
4,hill_climber,2,random selection of 10,32659,47968,14.060673952102661
5,hill_climber,2,random selection of 10,33199,48436,15.51920199394226
6,hill_climber,2,random selection of 10,32002,47473,12.795866250991821
7,hill_climber,2,random selection of 10,34162,51955,18.582266330718994
8,hill_climber,2,random selection of 10,32542,48274,17.14136505126953
9,hill_climber,2,random selection of 10,33208,49048,19.476719856262207
10,hill_climber,2,random selection of 10,33739,49975,20.14944100379944
11,hill_climber,2,random selection of 10,33622,49318,16.97966504096985
12,hill_climber,2,random selection of 10,33226,49174,20.709275007247925
13,hill_climber,2,random selection of 10,34531,50281,15.47405195236206
14,hill_climber,2,random selection of 10,33280,48526,11.239896059036255
15,hill_climber,2,random selection of 10,32731,48427,15.851536273956299
16,hill_climber,2,random selection of 10,32686,48139,14.840684175491333
17,hill_climber,2,random selection of 10,32839,48058,16.586535215377808
18,hill_climber,2,random selection of 50,32011,47482,19.96759009361267
19,hill_climber,2,random selection of 50,32569,47185,13.96711802482605
20,hill_climber,2,random selection of 50,31696,46717,17.201861143112183
21,hill_climber,2,random selection of 50,31723,47203,22.13602113723755
22,hill_climber,2,random selection of 50,32677,46906,18.285829067230225
23,hill_climber,2,random selection of 50,32074,47374,18.2557110786438
24,hill_climber,2,random selection of 50,32470,47698,17.333581686019897
25,hill_climber,2,random selection of 50,32515,47446,16.9256010055542
26,hill_climber,2,random selection of 50,32668,47995,13.177463054656982
27,hill_climber,2,random selection of 50,31849,46582,18.673262119293213
28,hill_climber,2,random selection of 50,32227,47023,19.957525968551636
29,hill_climber,2,random selection of 50,32578,47626,21.544382095336914
30,hill_climber,2,random selection of 50,32632,47995,23.549589157104492
31,hill_climber,2,random selection of 50,32785,48679,21.46367597579956
32,hill_climber,2,random selection of 50,32659,47779,19.930588960647583
33,hill_climber,2,random selection of 50,32308,47779,19.812152862548828
34,hill_climber,2,random selection of 50,33244,48508,21.19212317466736
35,hill_climber,2,random selection of 50,32605,48067,15.339745044708252
36,hill_climber,2,random selection of 150,33118,49327,22.55157709121704
37,hill_climber,2,random selection of 150,33037,48535,25.988270044326782
38,hill_climber,2,random selection of 150,33055,48751,22.658273696899414
39,hill_climber,2,random selection of 150,32686,48166,21.9374520778656
40,hill_climber,2,random selection of 150,33379,49912,25.44164800643921
41,hill_climber,2,random selection of 150,32956,48391,23.84001612663269
42,hill_climber,2,random selection of 150,34549,50794,20.23475694656372
43,hill_climber,2,random selection of 150,32821,48922,19.89107584953308
44,hill_climber,2,random selection of 150,33541,50146,22.6234188079834
45,hill_climber,2,random selection of 150,32893,48616,27.432796239852905
46,hill_climber,2,random selection of 150,33010,48391,19.63304376602173
47,hill_climber,2,random selection of 150,33856,50029,19.097721099853516
48,hill_climber,2,random selection of 150,33820,49183,25.501846075057983
49,hill_climber,2,random selection of 150,33199,49579,22.91248607635498
50,hill_climber,2,random selection of 150,32992,48427,24.52687096595764
51,hill_climber,2,random selection of 150,33028,48328,16.062631368637085
52,hill_climber,2,random selection of 150,33577,48643,28.569178819656372
53,hill_climber,2,random selection of 150,33658,49498,25.07353186607361
