,algorithm,district,parameters,shared cost,own cost,time
0,hill_climber,3,random selection of 10,32290,46213,14.162166118621826
1,hill_climber,3,random selection of 10,32578,46069,13.638859987258911
2,hill_climber,3,random selection of 10,33334,46987,18.960139989852905
3,hill_climber,3,random selection of 10,32110,45961,19.872717142105103
4,hill_climber,3,random selection of 10,32641,45709,20.00638484954834
5,hill_climber,3,random selection of 10,33253,46933,15.833254098892212
6,hill_climber,3,random selection of 10,32722,46393,22.43385672569275
7,hill_climber,3,random selection of 10,32911,46699,13.84519910812378
8,hill_climber,3,random selection of 10,31435,45223,20.752007961273193
9,hill_climber,3,random selection of 10,31795,45421,22.985429048538208
10,hill_climber,3,random selection of 10,32677,46069,14.931741952896118
11,hill_climber,3,random selection of 10,32299,46555,14.486639022827148
12,hill_climber,3,random selection of 10,32605,45943,17.998875856399536
13,hill_climber,3,random selection of 10,32353,46087,16.175323963165283
14,hill_climber,3,random selection of 10,32812,47059,16.143211126327515
15,hill_climber,3,random selection of 10,33397,47401,18.22800326347351
16,hill_climber,3,random selection of 10,32749,46213,18.58153009414673
17,hill_climber,3,random selection of 10,33046,47347,19.75260591506958
18,hill_climber,3,random selection of 50,32299,45061,17.806883096694946
19,hill_climber,3,random selection of 50,32173,45295,23.750364303588867
20,hill_climber,3,random selection of 50,31642,44683,22.81243371963501
21,hill_climber,3,random selection of 50,31597,44953,23.84449005126953
22,hill_climber,3,random selection of 50,32065,45205,21.23539400100708
23,hill_climber,3,random selection of 50,31048,44791,21.63839101791382
24,hill_climber,3,random selection of 50,31903,45871,15.490288972854614
25,hill_climber,3,random selection of 50,31651,44575,16.97588014602661
26,hill_climber,3,random selection of 50,31858,44791,25.02933979034424
27,hill_climber,3,random selection of 50,31507,44719,32.40231800079346
28,hill_climber,3,random selection of 50,31840,45403,23.083872079849243
29,hill_climber,3,random selection of 50,32506,45511,14.883464097976685
30,hill_climber,3,random selection of 50,32074,45403,27.601035118103027
31,hill_climber,3,random selection of 50,31948,45025,20.144121885299683
32,hill_climber,3,random selection of 50,31984,45475,19.581926107406616
33,hill_climber,3,random selection of 50,31966,45097,20.88204312324524
34,hill_climber,3,random selection of 50,31615,45061,16.36753797531128
35,hill_climber,3,random selection of 50,31876,45601,18.49872589111328
36,hill_climber,3,random selection of 150,32677,46339,20.27001190185547
37,hill_climber,3,random selection of 150,33226,48373,15.52140212059021
38,hill_climber,3,random selection of 150,33127,47725,18.22116994857788
39,hill_climber,3,random selection of 150,31777,45745,20.63630700111389
40,hill_climber,3,random selection of 150,32776,47113,18.514629125595093
41,hill_climber,3,random selection of 150,32335,46753,19.21612811088562
42,hill_climber,3,random selection of 150,35485,51217,17.15988302230835
43,hill_climber,3,random selection of 150,33685,47959,17.388019800186157
44,hill_climber,3,random selection of 150,33613,48067,14.899310827255249
45,hill_climber,3,random selection of 150,32740,45655,20.37371802330017
46,hill_climber,3,random selection of 150,33019,46861,20.30674409866333
47,hill_climber,3,random selection of 150,32722,46825,23.099820613861084
48,hill_climber,3,random selection of 150,33019,47329,16.791899919509888
49,hill_climber,3,random selection of 150,32911,47185,15.92627215385437
50,hill_climber,3,random selection of 150,33820,48517,16.9396710395813
51,hill_climber,3,random selection of 150,33550,48175,15.24579381942749
52,hill_climber,3,random selection of 150,32830,47401,18.727750062942505
53,hill_climber,3,random selection of 150,31786,45655,20.20068883895874
