,algorithm,district,parameters,shared cost,own cost,time
0,random,3,random selection of 10,32497,45619,27.424104928970337
1,random,3,random selection of 10,32965,46843,39.800832986831665
2,random,3,random selection of 10,32263,45943,31.59770107269287
3,random,3,random selection of 10,33100,46465,26.262476682662964
4,random,3,random selection of 10,32992,46987,32.210254192352295
5,random,3,random selection of 10,33154,46933,22.610838890075684
6,random,3,random selection of 10,32353,46105,35.903424978256226
7,random,3,random selection of 10,33010,46879,34.62151908874512
8,random,3,random selection of 10,32947,47347,39.748902797698975
9,random,3,random selection of 10,32218,45709,29.87781286239624
10,random,3,random selection of 10,32704,47239,28.62814211845398
11,random,3,random selection of 10,33280,48661,25.491297960281372
12,random,3,random selection of 10,32731,47509,25.4600191116333
13,random,3,random selection of 10,32542,47059,31.330684900283813
14,random,3,random selection of 10,32533,46285,26.876176118850708
15,random,3,random selection of 10,32659,47905,25.775327920913696
16,random,3,random selection of 10,32758,46105,21.697646141052246
17,random,3,random selection of 10,32695,46519,27.967807054519653
