,algorithm,district,parameters,shared cost,own cost,time
0,random,2,random selection of 150,32956,49129,48.894054889678955
1,random,2,random selection of 150,33136,48490,49.581273794174194
2,random,2,random selection of 150,33766,50056,34.13375782966614
3,random,2,random selection of 150,33883,50452,44.56830096244812
4,random,2,random selection of 150,34081,50713,46.210341930389404
5,random,2,random selection of 150,33172,49021,47.99616599082947
6,random,2,random selection of 150,33523,49957,45.112093925476074
7,random,2,random selection of 150,33613,49750,46.353509187698364
8,random,2,random selection of 150,33181,48373,45.027955055236816
9,random,2,random selection of 150,33028,48823,45.569668769836426
10,random,2,random selection of 150,32596,48076,49.366228103637695
11,random,2,random selection of 150,33676,51271,43.28323793411255
12,random,2,random selection of 150,33766,50092,41.689064025878906
13,random,2,random selection of 150,32884,49354,44.167816162109375
14,random,2,random selection of 150,33631,50092,136.38803386688232
15,random,2,random selection of 150,33028,49174,44.103514671325684
16,random,2,random selection of 150,32965,48337,45.355387926101685
17,random,2,random selection of 150,33118,49219,42.800782203674316
