,algorithm,district,parameters,shared cost,own cost,time
0,random,3,random selection of 50,31678,44845,34.628539085388184
1,random,3,random selection of 50,32488,45349,35.699249029159546
2,random,3,random selection of 50,31867,44719,49.35951519012451
3,random,3,random selection of 50,31813,44845,52.777324199676514
4,random,3,random selection of 50,31615,44611,54.56672716140747
5,random,3,random selection of 50,32479,45097,32.1145339012146
6,random,3,random selection of 50,32029,45637,44.569740772247314
7,random,3,random selection of 50,32101,44827,45.472766160964966
8,random,3,random selection of 50,31777,44809,53.25712704658508
9,random,3,random selection of 50,32227,44503,63.83805799484253
10,random,3,random selection of 50,31552,44719,53.653311252593994
11,random,3,random selection of 50,32371,45781,37.4684841632843
12,random,3,random selection of 50,31867,45223,53.395374059677124
13,random,3,random selection of 50,32326,45583,50.393275022506714
14,random,3,random selection of 50,31633,45169,48.656079053878784
15,random,3,random selection of 50,31993,45115,56.28046011924744
16,random,3,random selection of 50,31732,44791,45.674721002578735
17,random,3,random selection of 50,32146,45187,41.878243923187256
