,algorithm,district,parameters,shared cost,own cost,time
0,random,3,random selection of 150,33955,49255,33.308459997177124
1,random,3,random selection of 150,32830,46897,47.587162733078
2,random,3,random selection of 150,34162,49165,28.631749153137207
3,random,3,random selection of 150,33064,47059,41.841058015823364
4,random,3,random selection of 150,32578,45853,53.5397789478302
5,random,3,random selection of 150,32191,46897,48.31258487701416
6,random,3,random selection of 150,33280,46501,47.81980919837952
7,random,3,random selection of 150,33154,47581,50.51246118545532
8,random,3,random selection of 150,32929,46681,35.49871587753296
9,random,3,random selection of 150,32758,47149,47.32384014129639
10,random,3,random selection of 150,32920,46123,44.892765045166016
11,random,3,random selection of 150,32578,46357,49.44222402572632
12,random,3,random selection of 150,32659,47311,50.97394680976868
13,random,3,random selection of 150,32965,45655,44.18849587440491
14,random,3,random selection of 150,32209,46699,141.44292092323303
15,random,3,random selection of 150,32353,46159,52.16013193130493
16,random,3,random selection of 150,33145,46519,54.63782286643982
17,random,3,random selection of 150,32992,47743,45.18336200714111
