,algorithm,district,parameters,shared cost,own cost,time
0,random,2,random selection of 50,32533,47725,36.036153078079224
1,random,2,random selection of 50,31966,46897,64.6841368675232
2,random,2,random selection of 50,31993,46816,50.092451095581055
3,random,2,random selection of 50,32794,48139,40.39362096786499
4,random,2,random selection of 50,32344,47797,50.939074993133545
5,random,2,random selection of 50,32488,47185,33.716131925582886
6,random,2,random selection of 50,32254,47113,48.782784938812256
7,random,2,random selection of 50,32524,47356,45.67017197608948
8,random,2,random selection of 50,33091,48805,42.7591769695282
9,random,2,random selection of 50,32272,46960,32.2898690700531
10,random,2,random selection of 50,33118,49030,68.70752930641174
11,random,2,random selection of 50,32371,47086,44.53923201560974
12,random,2,random selection of 50,32947,47815,48.81412196159363
13,random,2,random selection of 50,32137,46897,53.82762312889099
14,random,2,random selection of 50,32452,47338,43.8206090927124
15,random,2,random selection of 50,33298,48787,42.02189302444458
16,random,2,random selection of 50,33361,49723,51.37095093727112
17,random,2,random selection of 50,32254,47158,45.36275315284729
