,algorithm,district,parameters,shared cost,own cost,time
0,random,3,N/A,45403,71665,0.009439945220947266
1,random,3,N/A,45727,71467,0.008769989013671875
2,random,3,N/A,44845,70243,0.02355813980102539
3,random,3,N/A,45466,71107,0.01770615577697754
4,random,3,N/A,45277,73429,0.004140138626098633
5,random,3,N/A,45412,70027,0.008092164993286133
6,random,3,N/A,43513,68425,0.009038925170898438
7,random,3,N/A,44539,71773,0.006003856658935547
8,random,3,N/A,44143,70135,0.00694584846496582
9,random,3,N/A,44485,72151,0.003353118896484375
10,random,3,N/A,45718,75013,0.004141807556152344
11,random,3,N/A,46483,71233,0.006400108337402344
12,random,3,N/A,43873,71197,0.009990215301513672
13,random,3,N/A,44890,71449,0.030147790908813477
14,random,3,N/A,43504,70675,0.0029859542846679688
15,random,3,N/A,44602,70729,0.0055789947509765625
16,random,3,N/A,45088,71161,0.0058367252349853516
17,random,3,N/A,43945,70513,0.01123189926147461
18,random,3,N/A,46141,72457,0.003072023391723633
19,random,3,N/A,44062,69991,0.00603175163269043
20,random,3,N/A,45043,71449,0.015830039978027344
21,random,3,N/A,45592,72709,0.005690097808837891
22,random,3,N/A,44467,71449,0.0048177242279052734
23,random,3,N/A,44386,71791,0.024538040161132812
24,random,3,N/A,45043,71719,0.02515411376953125
25,random,3,N/A,46177,71089,0.007824182510375977
26,random,3,N/A,45601,73249,0.009927988052368164
27,random,3,N/A,43837,71953,0.010063648223876953
28,random,3,N/A,45295,72115,0.014751911163330078
29,random,3,N/A,45079,71611,0.013836145401000977
30,random,3,N/A,43621,68605,0.012301921844482422
31,random,3,N/A,43837,68569,0.0044689178466796875
32,random,3,N/A,44818,72259,0.0038993358612060547
33,random,3,N/A,44962,73627,0.007247209548950195
34,random,3,N/A,44323,72529,0.008966684341430664
35,random,3,N/A,46411,74185,0.0076732635498046875
36,random,3,N/A,44260,69721,0.005835771560668945
37,random,3,N/A,44827,69073,0.022789716720581055
38,random,3,N/A,44449,71359,0.0030100345611572266
39,random,3,N/A,45889,74707,0.004822969436645508
40,random,3,N/A,43468,72061,0.007802248001098633
41,random,3,N/A,44107,72295,0.003958940505981445
42,random,3,N/A,46240,74797,0.012476921081542969
43,random,3,N/A,45268,71467,0.004486083984375
44,random,3,N/A,45538,70297,0.004351139068603516
45,random,3,N/A,45124,73051,0.01437067985534668
46,random,3,N/A,45268,72835,0.027616024017333984
47,random,3,N/A,44431,70297,0.003551959991455078
48,random,3,N/A,44854,69451,0.003300905227661133
49,random,3,N/A,46213,74095,0.008362054824829102
50,random,3,N/A,44548,68731,0.009557008743286133
51,random,3,N/A,45268,72961,0.012971878051757812
52,random,3,N/A,44368,72853,0.005380153656005859
53,random,3,N/A,44746,72853,0.019257068634033203
54,random,3,N/A,44647,70315,0.008224010467529297
55,random,3,N/A,43837,71413,0.003930807113647461
56,random,3,N/A,46375,75391,0.008191823959350586
57,random,3,N/A,46654,73339,0.004282236099243164
58,random,3,N/A,45286,70585,0.007133960723876953
59,random,3,N/A,44278,72025,0.005171775817871094
60,random,3,N/A,43990,72295,0.0033881664276123047
61,random,3,N/A,45286,72079,0.009251117706298828
62,random,3,N/A,44629,70801,0.011328935623168945
63,random,3,N/A,44647,69451,0.01238107681274414
64,random,3,N/A,45304,71521,0.016826152801513672
65,random,3,N/A,44710,71827,0.008079051971435547
66,random,3,N/A,45979,73069,0.002730131149291992
67,random,3,N/A,43747,69793,0.0036139488220214844
68,random,3,N/A,45385,75013,0.03174185752868652
69,random,3,N/A,45403,69325,0.014924049377441406
70,random,3,N/A,43621,71089,0.0058269500732421875
71,random,3,N/A,43459,67867,0.008120059967041016
72,random,3,N/A,43918,71143,0.005010843276977539
73,random,3,N/A,44485,71917,0.005544185638427734
74,random,3,N/A,44170,70351,0.0036008358001708984
75,random,3,N/A,45781,71179,0.004775285720825195
76,random,3,N/A,44791,71917,0.004541873931884766
77,random,3,N/A,44269,70333,0.005597829818725586
78,random,3,N/A,44017,71863,0.016829967498779297
79,random,3,N/A,45115,71143,0.014528989791870117
80,random,3,N/A,44890,73159,0.007021665573120117
81,random,3,N/A,44080,72133,0.006375789642333984
82,random,3,N/A,45745,70963,0.0026979446411132812
83,random,3,N/A,46519,73087,0.0075130462646484375
84,random,3,N/A,44512,68911,0.002630949020385742
85,random,3,N/A,43927,71449,0.009683847427368164
86,random,3,N/A,47347,73501,0.0027430057525634766
87,random,3,N/A,44539,70405,0.011136054992675781
88,random,3,N/A,45583,72115,0.020434856414794922
89,random,3,N/A,44620,72439,0.014079809188842773
90,random,3,N/A,45754,73069,0.038632869720458984
91,random,3,N/A,44620,70747,0.005267143249511719
92,random,3,N/A,46330,70477,0.006709098815917969
93,random,3,N/A,44620,70675,0.0038721561431884766
94,random,3,N/A,44692,71287,0.020373821258544922
95,random,3,N/A,44161,70711,0.0037000179290771484
96,random,3,N/A,43567,70675,0.003914833068847656
97,random,3,N/A,45781,73033,0.002994060516357422
98,random,3,N/A,44035,70081,0.014216899871826172
99,random,3,N/A,43567,71251,0.0029420852661132812
100,random,3,N/A,43306,68119,0.004920244216918945
101,random,3,N/A,44503,73267,0.004032135009765625
102,random,3,N/A,45340,71269,0.010198116302490234
103,random,3,N/A,46348,74185,0.004601955413818359
104,random,3,N/A,44998,70675,0.006345987319946289
105,random,3,N/A,45160,71017,0.013561725616455078
106,random,3,N/A,45295,72799,0.008056879043579102
107,random,3,N/A,45826,72385,0.00521397590637207
108,random,3,N/A,44395,71521,0.0028319358825683594
109,random,3,N/A,44818,71161,0.0032939910888671875
110,random,3,N/A,45763,73231,0.0066070556640625
111,random,3,N/A,42757,68389,0.013112068176269531
112,random,3,N/A,45781,72943,0.00964498519897461
113,random,3,N/A,45871,73105,0.025875091552734375
114,random,3,N/A,45259,73051,0.003854990005493164
115,random,3,N/A,45601,73015,0.012944936752319336
116,random,3,N/A,45511,71089,0.0031538009643554688
117,random,3,N/A,44656,72223,0.005882740020751953
118,random,3,N/A,45052,71377,0.014037847518920898
119,random,3,N/A,46105,72709,0.006876230239868164
120,random,3,N/A,44350,69253,0.004040956497192383
121,random,3,N/A,43603,68659,0.0051152706146240234
122,random,3,N/A,43639,68731,0.0041637420654296875
123,random,3,N/A,43999,70189,0.009741783142089844
124,random,3,N/A,45511,69685,0.0055751800537109375
125,random,3,N/A,42937,69271,0.004308938980102539
126,random,3,N/A,46375,74761,0.0054471492767333984
127,random,3,N/A,45421,74167,0.004249095916748047
128,random,3,N/A,44179,71989,0.0030999183654785156
129,random,3,N/A,46195,73717,0.0027132034301757812
130,random,3,N/A,44233,70441,0.004300117492675781
131,random,3,N/A,44134,69739,0.005127906799316406
